"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
28.1,47.9,2.7,6.7,26,8.3,1.03,11.1,228
24,45.4,0.8,6.6,13.5,5,1.11,12.1,603
25.9,68,6,9.8,26.5,7.9,1.15,10.8,575
23.7,73.8,3.1,4.2,11.1,4.1,0.97,14.5,447
25.9,59.9,2.4,6.1,31.7,13.9,1.47,5.8,388
22.4,69.3,2.2,8.4,19.6,3,0.92,10.2,339
24,49.5,4.8,15.5,19.6,7.2,1.02,10.2,608
34.8,72.7,12.7,20.2,23.4,16.3,1.68,8.2,679
26.8,55.7,0.3,6.2,17.3,5.6,0.94,11.4,425
39.8,63.6,5,19.4,25.1,7.4,2.27,4.5,681
30.8,81.7,23.3,36.4,26.5,21.6,1.49,5.8,546
24.5,65.3,29.4,38.1,33.4,2,1.23,6,616
24.8,44.9,2.7,12.5,12.7,3.2,0.96,12.2,405
28.6,45.2,6.2,11.4,24,3.6,0.93,12.5,212
37.8,84,14.8,21.3,27.1,19.9,1.8,4,688
25.1,63.9,5,8.8,17.3,6.3,1.12,11,367
35.1,78.2,14,32.1,28.3,3,1.98,3.7,597
23,65.6,3.9,8.2,23.8,5.8,1.08,10.5,285
29.1,93.5,9.8,30.2,29.3,13.4,1.54,5.4,402
19.2,45.1,26.4,28.8,26.8,7.5,0.92,11.3,208
26.3,64.6,0.6,5.1,14.2,3.4,0.98,10.3,189
22.3,45.3,7,8.3,27.1,8.2,0.87,11.1,316
28.3,65.8,7.3,9.8,23.3,3.6,1.03,13,563
43,114.3,42.4,61.6,30.4,11.7,2.51,3.5,567
20.4,44.9,4.6,9.2,20.5,5.7,1.03,10.2,545
23.8,48.8,19.9,25.8,26.2,5.6,0.83,10.4,403
31.7,61.4,7.9,20.8,27.7,12.6,1.68,7.5,574
27.2,79.2,56,59.4,20.1,5,1.94,5.7,541
31.1,59.2,31.2,46.1,32.8,10.5,1.48,6.5,450
25.4,53.2,9.6,12.3,20.4,1.5,1.14,10.3,493
26,54.7,7.7,16.9,17.2,6.9,1.05,17.2,333
19.7,39.9,2,6.8,28.4,7.6,1.14,10.2,347
28.2,55.4,3.4,13.1,18.2,3.8,1.2,6.6,296
34.7,68.8,35.1,59.4,22.7,10.3,2.33,2.6,816
41,60.7,26.9,56.7,38.4,13,2.25,3.5,673
28.9,52.7,0.3,6.5,15.7,5.7,1.14,11.9,568
22.4,59.7,0.6,8,19.9,4.5,0.99,11.1,484
38.1,106.3,28,58.2,36.8,24.8,2.19,4.6,494
28.6,91.5,61.2,82.7,39.5,7.5,1.97,4.6,639
45,76.7,15.8,21.9,45.2,24.1,2.91,11,808
35.1,81.5,1.7,10.9,29.1,11,1.48,11.5,337
26.7,71.3,6.2,12.7,23.6,5.9,1.04,11.1,389
43.4,66.5,7,24.6,38.4,10.1,1.77,4.5,450
31.3,56.1,2.3,11.6,21.1,9,1.41,10.9,588
30.5,75.1,8.8,19.3,29.4,9.9,1.67,5.1,511
27.8,99.6,27.2,34.4,40.4,18.4,2.06,4.7,611
44.9,82.7,33.8,51.4,32.1,14.7,2.49,3.8,514
21.9,68,32,37.2,25.5,1.8,1.14,12.3,211
32.6,54.3,5.7,19.6,25.9,11.8,1.35,7,649
22.4,66,24.6,32.1,20.6,6.2,0.8,11.2,257
24,64.1,21.4,27.3,22.6,5.7,0.94,10.3,296
23.9,44.8,1,4.7,26,3.5,1.02,10.6,262
44.9,103,8.1,28.8,50.1,35,2.54,3.9,821
34,50.8,1.3,14.1,20.6,13.4,1.4,5,485
29.8,75.8,1.1,19.5,29.7,4,1.78,6.3,402
27.8,42,20.7,24.5,18.2,2.9,0.89,13.2,253
26.9,53.5,20,28.4,29.5,5.3,1.36,8.5,313
30.7,53.5,4.9,11.5,22.9,8.8,0.98,13.7,429
22.5,58.3,25.8,32.3,26.9,3.3,0.97,10.3,501
37.8,79.1,63,85.1,52.6,20.1,2.6,6.5,778
32.2,55.6,9.9,20,25.2,14.1,1.75,6.1,516
29.5,69.1,21.9,45.5,31.7,22.7,1.99,5.3,553
35.1,95.2,39.8,74.7,43.3,30.7,2.55,5.2,610
27.1,75.8,61.2,83.7,31.3,19.7,1.79,5.3,592
28.3,72.7,4.7,8.4,13.2,5.8,0.94,10.5,246
52.3,84.7,21.2,36.4,26.8,15.6,2.27,2.7,647
24,67.8,1.3,7,15.6,3,0.98,12.1,415
20.2,58,2.8,5.5,17.2,1.8,1.01,13.3,312
20.5,45.2,16.9,21.6,26.2,4.9,1.08,10.1,236
37.6,80.6,8.5,17.8,25,15.2,1.65,4.1,768
26,65.5,12.3,16.1,24.8,3.1,0.99,10.9,405
28.9,109.5,3.6,21.7,62.1,13.5,2.35,2.7,678
29.5,69.8,5.9,21.1,27.6,18.9,1.82,3.6,694
27.3,77.9,20.9,33.3,32.8,9.9,1.3,7.5,580
26.8,58.5,39,46.5,27.4,8.6,1.59,5.5,466
34,64.2,14.6,32.3,47.4,8.8,1.47,5.1,434
38,75.2,7,32.7,40.7,15.6,2.57,3.2,786
39.2,47.2,7.8,13,31.6,12.5,1.85,8.8,371
22.2,69.7,19.1,21.7,25,9.2,1.15,12.5,595
39.3,84.6,69.1,91.7,32.7,16.5,1.85,4.3,513
29.3,75.2,14.7,27.1,27.9,11.5,1.56,5.3,428
33.7,63.2,58.3,78.3,42.9,4.8,1.43,5.1,505
32,84.4,30.3,39.1,40.4,21.2,1.99,6.2,454
28.4,62.8,24.6,35.1,23.5,12.3,1.53,5.4,543
24,42.5,9.9,14.9,25.9,3.9,0.91,10.6,310
38.4,87.7,38.4,63.6,45.4,17,2.49,3.7,637
18.2,45.5,9.4,17,15.5,6.4,0.89,14.1,373
34,73.4,3.5,18.7,29.6,8.2,1.38,6.5,522
27,92.6,9.9,20.1,24.3,11.1,1.19,6.2,453
32.1,72.6,11.3,25.5,21.7,7.1,1.55,6.7,374
45.9,66.1,2.5,19.2,33.8,27.7,2.12,5.5,472
27.2,66.4,13,16.3,23.5,4.9,1.08,14,428
20.7,48.7,5.9,11.1,14.7,6.9,0.89,11.7,581
33.6,81.2,20.2,30.3,30.2,10.6,1.24,6.3,714
21.4,49.2,5.4,12.6,20.1,4.1,1.08,14.5,351
27.7,59.6,6.5,10.3,15.1,6.5,1,11.5,314
27.8,42.1,1.5,5.3,13.5,3.8,1.09,10.8,527
34.1,79.1,165.5,190.7,45.3,9,1.95,5.3,846
18.5,71,13.2,20.4,19.4,5.2,0.89,12,550
20.7,68.5,3.1,5.5,9.2,9.8,0.87,10.3,333
30,69.2,2,3.9,15.3,5.2,1.09,10.1,297
26.7,72.4,4.2,16.3,18.9,11.7,1.45,12,527
23.3,48.6,18.3,24,20.1,5.1,1.14,10.2,263
38.7,98.8,9.1,30.9,40.2,21,2.33,2.8,827
40.6,90.4,67.5,85.6,30.3,16.1,2.32,3.9,485
25.9,62.8,25.8,35.6,31.2,19,1.48,5.3,411
27.9,56.7,0.7,6,14.5,5.9,1.1,12.9,275
26,76,1,4.5,13.1,2.7,1.09,10.2,248
32.2,69.4,1.5,14.1,24.3,12.5,1.89,5.7,481
23.5,43,14.6,19,23.1,1.7,1.14,12.7,297
33.4,85.5,11.7,31.7,41.7,12.4,2.03,3,927
26.3,44.2,16.7,20.4,12.5,4.3,0.95,11.7,397
33.8,50.4,15.2,25,23.5,7.9,1.71,6.1,407
40.5,69.4,26.4,34.8,33.4,25.1,1.62,5,501
29.1,77.1,61.8,76.5,28.5,8.4,1.71,5.7,591
36.6,113.1,143,167.3,41.8,11.7,2.43,2.7,644
31.2,64,15.7,25.3,28,13.2,1.59,7.6,485
33.6,55.2,2.9,21.2,21.9,5.1,1.69,5.3,454
28.5,83.8,10.6,26.5,30.2,10.7,1.52,7.5,581
37,93.9,17,34.1,33.3,11.4,1.86,3.1,684
37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506
27.3,76.4,11.8,20.4,12.9,6.9,1.04,12.7,468
30.8,60.3,1.1,3.6,21.2,5.1,0.96,11.4,470
28.8,76.6,124.1,135.5,32,10,2.02,5,566
33.4,44.1,13.2,16.1,16.5,11.6,1.28,6,643
45.3,73.7,53.2,84.6,47.8,28,2.45,2.8,480
26.9,40,15.7,18.9,14.2,4.1,1.17,10.7,598
27.9,51.1,1.3,5.3,15,6.1,1.01,11.7,587
33.9,65.9,11.6,23.8,25.1,11.2,1.13,7.3,427
23.4,77.4,25.1,28.6,26.1,5.7,1.09,12,201
25.2,71.5,3.5,9,11.3,5.6,0.88,10,393
31.9,74.5,31.9,40.6,36.4,9.7,1.45,6.7,494
23.6,55.5,1.2,2.2,24.5,9.7,1.03,10.5,349
26.3,45.3,5.8,14,18.3,2.8,0.96,12.2,411
25.8,55.8,18.9,26.4,19.9,7.3,1,12,579
31.1,62.8,0.9,8.4,17.1,6.3,1.16,15.8,321
21.6,61.6,1.1,6.8,16.2,5.9,1.01,15.6,398
40,70.3,47.8,56.7,32.4,25.1,1.71,5.5,348
37.7,63.6,24.2,32.1,24.3,13.2,1.59,5.6,600
24,53.4,5.3,10.8,34.8,15.9,1.16,6.4,728
24.8,58.5,10.3,18.9,32.3,11.3,1.36,5,471
29.4,60.4,10.7,14.9,11.2,2.4,1.03,11.2,363
26.1,65.4,10.2,14,23.1,7.1,1.01,12.2,379
20,72.8,3.6,8.3,26.2,6.5,0.95,11.1,516
34,58.3,36.6,52.4,28.4,5.3,1.49,6.9,499
26.1,82.7,19.9,37.5,36.7,12,1.5,4.3,706
25.1,42.6,12.3,20.1,25,6.3,1.08,13.7,455
28.4,80.8,11.4,20.3,36,9.7,1.19,5.8,530
32.1,73.6,39.4,54.8,39.5,6.8,2,4.2,493
26.3,64.3,73.4,81.3,11.9,3.4,0.87,10.2,390
24.2,62.7,4.5,8.5,22.3,0.3,0.99,10.3,555
26.1,48.2,15.7,16.5,17.1,5.3,0.94,11.1,344
24.6,62.9,0.6,2.6,29.2,4.8,0.99,11.2,387
32.2,66.7,22.8,34.7,29.6,17.6,2.69,9.1,441
28,83.3,6,4.5,34.1,4.6,1.65,5.8,475
25.5,59.8,7.7,13.1,16.4,2.6,1.05,13,244
52.7,61.7,3.1,17.3,53,14.2,2.29,5.1,731
21.9,71.1,36.9,36.2,33.3,9.6,1.67,5.6,594
26.1,38.4,0.4,5.4,20.9,3.1,1.12,11.1,387
26.2,64.2,1.9,6.6,19.7,6.2,1.05,13.8,369
26.1,65.4,6,9.2,14.9,4.7,1.21,13.5,241
33.7,83.7,12.7,18.9,36,15,2.56,4.6,679
19.6,65.5,33.8,39.8,30.4,11.9,1.47,6.1,629
26.9,52.2,9.1,17.4,28,3,0.96,12.1,263
25.2,64,2.4,6.9,16.6,2.8,1.07,10.3,508
28.2,90.6,17.2,27.5,32.3,17.4,2.07,9.1,680
34.8,54.9,13.2,18.9,20.1,11,1.63,5.3,385
40.8,93.8,11.3,27.2,53.4,23.2,2.72,4.7,688
22.2,79.3,39.8,49.8,22.4,5.6,1.49,5.5,351
21.8,69,0.7,7.9,10.2,6.3,0.95,11.6,489
32.4,63.5,6.4,14.7,38.5,11.4,1.81,3.8,501
30.3,60.5,6.5,11.1,16.5,6,1.07,14.9,307
20.2,54.9,10.9,16.6,12.1,7.8,1.14,10.2,534
23.9,73.9,25.9,28.5,21.5,3.1,1.45,5.5,562
32.7,64.6,12.6,18.9,30.5,9.5,1.65,7.2,505
40.3,73.4,11.3,29.9,31.4,25.3,2.11,3.9,380
31.4,51.5,6,15.4,22,11.4,1.29,6.8,370
17.5,45,21.2,25.9,14.3,5.3,0.78,12.1,492
24.4,38.2,4.7,10.9,20.8,1.3,0.72,10.8,429
33.8,72.5,24.5,36.1,26.7,7.3,1.36,7,433
26.2,52.6,11.3,11.5,29.3,14.6,1.55,7.3,397
39.7,85.9,67.6,88.8,21.3,22.3,1.9,4.5,616
35.7,99.9,20.2,33.8,37.7,18.5,2.08,7.1,599
28.3,76.6,10.3,17.8,37.4,5.2,1.38,7.1,540
26.2,55.8,16.3,21.6,23.5,6.1,1.08,11,535
29.1,63.6,12.3,21.1,32,5.1,1.53,7.4,542
22.7,77.3,71,77.5,40.1,9.6,1.63,3.5,608
26.9,59.1,21.4,33,22.2,9.2,1.14,5.5,398
25.5,59.6,5.6,12,11.6,7.6,1.01,12.4,582
23.4,65.6,8.9,10,27,6.3,1.03,10.5,322
25.7,41.1,2.4,9.2,13.4,4.9,1.01,15.8,544
23.2,71.3,8.2,13.1,25.7,8.1,1.04,10.5,218
22.6,69,1.2,7.7,12.2,5.6,1.18,11.8,481
26.4,45,1.3,6.3,20.5,4.4,0.96,10.2,225
37.2,87.6,1.3,14.3,32.3,1.1,1.7,3.4,663
20.6,80.6,0.3,5.1,22,4.6,1.49,7.6,647
38.6,58.3,9.6,29.6,28.4,13.7,2.17,3.5,422
33.9,80.4,2.9,13.9,22.3,12.7,1.49,6.2,481
36.5,90.3,5.1,31.6,27.9,10.5,2.12,5.1,630
29.6,90.2,40.6,41.3,23.6,5.7,1.36,7,304
17.8,57.7,1.2,6.8,27.1,3,0.95,10.9,453
22.5,48.6,0.8,6.2,12.9,8,1.02,10.5,354
30.8,47.1,15.6,20,16,4.6,1.02,12.2,329
19.4,70.6,8.2,14.2,21.1,0.4,0.99,10.2,262
27.2,82.5,18.7,37.1,32.5,14.5,1.96,4.5,544
27.3,53.4,6.7,13.6,24,6.7,0.99,10.6,208
27.1,58.3,4.7,17,29.4,7.5,1.07,5,349
31,69.1,15.4,29.6,24.8,5.7,1.62,6.2,704
20.2,47,10.4,16.1,12.3,1.7,1.14,12.3,215
30.5,54,6.3,14.5,29,7.9,1.54,5.8,391
25.9,49.6,1,12.6,23,16.9,1.96,5.5,592
32.9,74.8,4.9,9.6,22.3,9.9,1.71,6,339
38.8,90.8,12.6,20.3,29.3,8.3,1.57,6.9,630
40.4,65.1,33.1,55.6,35.3,17.9,1.82,5.3,440
40.9,76.9,153.9,176.5,37.4,18.5,3.4,5.3,821
25.6,60.3,21.4,34,30.4,3.7,1.37,7.8,315
29.9,65.5,0.9,8.2,25.2,11.4,1.46,8.4,670
25.1,48.7,8.6,17.9,17.5,4.2,0.98,19.7,403
26,44.9,17.3,23.7,17.1,4.1,0.84,11.7,435
24.4,75.5,16.1,20.4,25.3,5.1,0.86,11.3,357
30.7,75.8,2.4,19.2,29.4,9.3,1.66,5.5,448
32.4,62.5,28.9,38.3,31,7,1.64,5.1,688
37.5,76.6,9.3,10.1,32.2,15,1.29,5.1,669
31,93.2,28.7,48.3,44.2,11.3,2.29,10.1,592
33.7,96.3,70.8,87.3,32.9,17,2.33,4.8,557
32.9,56.9,44.2,55.4,19.5,8.5,1.33,9.3,612
40.5,100.2,65,81.4,39.1,17.1,1.6,5.9,553
23.1,58.3,3.2,7.3,12.9,5.9,1.03,11.9,295
22.6,47.1,3.1,9.8,11.3,7.8,1.06,14.4,351
23.7,39.2,6.9,13.2,21.8,3.8,0.94,11.8,576
37.2,80.5,35.6,44.6,34.2,24.1,2.17,6.3,607
31.8,67.3,17.7,23.4,22.1,9.6,2.49,5.9,689
26.4,56.9,4.9,8.9,10.7,6.3,0.99,10.2,276
42.2,63.3,15.2,38.9,23.5,24.1,2.27,13.2,467
25.8,56.3,5,9.5,20.9,2.5,0.98,14.1,410
41.1,82.1,30,52.7,35.7,14.9,2.46,4,654
22.2,59.8,6.1,10.2,27,8.2,0.9,13.3,408
25.4,49,13.1,16.6,21.7,4.9,0.89,14.4,388
29.4,64.5,0.7,4.7,16.4,4.7,1.1,11.1,520
23.1,67.4,11.5,26.7,18,10.9,1.83,6.5,332
41.9,85.5,32.2,37.1,40.9,21.9,2.07,6.1,579
25.1,67.2,16.3,21.1,19.9,7.6,0.83,10,471
22.2,49.8,0.6,6.9,15.9,5.4,0.96,11.7,502
36.4,78,50.8,57.2,22.6,8.5,1.55,5.3,583
24.5,59.1,35.9,46.4,36.8,22.7,1.83,3.5,562
27,73.6,0.9,3.1,13.9,4.4,1.2,10.2,488
37.7,76.3,15.4,15.2,22,13,1.02,6.2,386
30.8,84.4,34.2,50.3,27.8,16.1,1.3,5.1,416
31.7,78.9,18.4,33.4,37.2,12.4,1.3,6.3,500
25,61.8,4.4,11,26.4,3.4,1.05,11.5,397
22.1,53.1,4,9.9,19.3,6,1.03,10.1,292
32.5,74.3,5,18.7,32.3,15.5,1.83,4.8,769
24.8,84.3,1,9.2,24.8,2.7,1.64,9.2,614
30.1,78.4,6.5,24.9,28.8,6.6,1.98,7,569
41.4,74.5,12,37.6,46.8,13.8,3.61,4.3,632
32.3,91.2,1.7,15.7,33.5,7.2,2.33,7.2,535
29.9,82.5,12,25.6,37.5,11.2,1.63,3.8,597
24.4,63.5,3,6.7,17.4,5,0.96,15.5,223
58.6,66,44,54,44.3,22.7,3.09,5.2,641
31.1,86.1,87.9,98.8,44.4,15.6,2.15,4.4,480
26.1,54.5,1.5,5.8,17.2,3.1,0.98,17.9,327
21.1,80.4,3.7,9.6,17.6,4.5,1,11.3,333
22.9,50,19.2,23.4,18.8,6,0.95,12.2,225
56,68.8,15.8,29.9,48.9,17.4,3.11,3.3,535
28.4,73.5,11.6,33,37.6,20.2,1.56,7.7,642
26.5,84.8,47.4,59.2,25.7,7.4,1.49,6.4,471
25.3,79.8,2.3,10.9,33.5,14.1,2.04,4.3,602
34.7,75.8,2.7,6.4,33.2,6.3,1.5,7.8,335
31.3,68.9,31.4,32.5,32.7,6.6,1.65,8,489
28.1,62.6,19.4,29.4,16.2,12.3,1.77,7.1,676
30.9,62,3.5,7.3,31,10.4,1.36,5,297
42.9,104,52.5,80.9,22.9,13,2.42,4.4,680
30.4,63.8,12.2,22.1,31.3,15.5,1.7,5,389
26.6,92.9,31.8,51.9,35,10.2,1.42,6.1,526
27.6,51.2,7,14.8,19.6,6.1,0.98,18.2,315
40.5,87.4,46.9,66.7,39,9.2,1.83,3.3,680
30,89,9.2,30.2,29.7,17.5,1.83,8.2,428
40.9,85.1,12.6,47.9,32.6,26.5,2.03,3.9,783
34.5,78.6,20.7,37.6,26.7,14.1,2.35,4.6,702
31,42,8.4,12.3,15.1,7.3,0.88,11.8,594
24.1,68,2.6,4.7,25.2,8.5,1.18,11.3,580
22.3,78.8,19.3,26,26.1,5.5,0.82,10.7,214
26.5,51.7,0.7,5.3,10.7,7.1,1.05,10.2,555
30.7,80.4,5.4,12.4,24.5,12.9,1.22,5.3,639
17.8,59.7,2.2,9.9,16.4,5.1,0.87,10.1,583
32.8,57.7,11.1,22.9,25.7,8.4,1.23,8.4,398
26.4,72.7,2.4,6.2,20.3,9,0.94,10.1,431
27.9,82.5,8.3,24.2,29,9.4,1.78,5.6,349
50.7,68,39.7,60.8,35.2,29.7,2.77,4.7,862
31.1,89.1,22.8,28.2,17.7,10.5,1.71,6.8,680
23.8,54.2,2.6,5.1,18.7,6.8,1.12,12.2,351
30.4,56.5,5.9,14.5,23.7,6.4,1.24,6.7,410
23.5,75.8,3.8,7.7,21.1,6.9,0.82,16.9,258
23,82.5,6.6,19.3,21.1,10.3,1.8,6.1,566
34.1,73.4,5.5,12.2,20.9,4.6,1,10.1,188
25.4,72.7,11.9,15.3,20.6,8.3,1.46,6.8,503
24,45,1.9,7.1,26.1,5.2,1.15,10.9,265
41.2,85.9,3.4,21.2,39.6,8.4,2.27,3.5,689
28.5,57.3,18.4,34.9,32.7,13.9,2.54,5,486
24.1,70.9,10.6,17.7,23.4,4.1,1.47,6.3,475
20.9,68,3.3,8.8,21.9,4.1,1.08,10.5,538
29.4,76.2,12.9,28,27,13.9,1.58,7.8,696
34.3,48.9,18.1,27.7,29.2,5.4,1.65,5.6,304
22.3,50.9,11.1,18.3,19.5,5.1,1.02,11.6,287
30.8,60.9,0.5,20.6,36.1,11.2,2.13,4,627
24.1,83.6,49.8,60.3,28.4,9.6,1.54,6.4,543
27.3,72.6,2.7,8,13.3,5.3,1.19,10,327
32.1,66.6,50.3,60.5,35.2,11.2,1.67,7.5,468
31,85.8,10.1,24.8,29.4,8.5,1.89,12.1,507
33.2,109.8,94.1,111.7,46.6,7.4,3.24,3.9,853
30.4,57.2,46.1,56.4,20.2,11.7,1.8,8.8,516
28.4,83.9,28.4,32.2,33.5,9,1.74,6,425
28.6,42.3,12,22.5,27.8,13.3,1.35,5.2,648
30.5,58.2,11.8,24.8,22.9,15.9,1.52,5.1,431
26,66.5,1.7,5.4,20.2,5.8,1,10.2,399
29.3,75.2,43.5,48.7,22.7,7.7,1.61,11.8,370
23,51.2,17.3,22.3,13.6,2.5,0.84,13.2,444
35.2,72,3.6,11.4,29.4,10.2,1.39,6.5,737
26.4,60.3,6.5,13.2,21.8,5.1,0.88,11.1,412
30.7,75.8,37.3,50,26,13.6,1.34,5.9,415
27.5,55.1,3.8,14.9,20.3,5.2,1.38,6.3,629
31.9,61.4,29.5,31.9,28.7,-0.3,1.06,11.1,212
25.2,57.1,15.7,21.6,24.4,3.9,1.01,10.2,261
26.4,78.1,1.8,9.9,27,6.6,1.06,14.6,552
39.3,92.3,16,36.1,51.6,23.9,2.3,7.3,476
29.3,78.5,14.8,19.2,29.3,-0.4,1.48,8,451
24.8,67.9,2.3,8.2,23.9,1.4,1.08,18.8,207
47,95.3,3,23.4,36.3,24.4,2.4,3.4,582
24.5,61.3,1.7,5.2,22.3,4.8,0.97,10.8,548
34.3,70.1,0.5,19.9,32.1,14.8,2.04,5,551
44.6,79.9,9.8,25.3,28.7,29.2,1.74,4.1,756
36.3,54.9,66.3,75.5,25.3,13.4,1.29,6.1,413
27.8,94,44.7,59.3,29.8,12.5,1.46,5.7,687
27.5,61,41.9,58.8,26,12,1.6,5.6,488
47.8,70.2,35.4,55.1,35.3,22.9,2.07,3.3,607
26.5,86.3,28,54.1,56.6,9.6,2.02,4.8,603
22.5,54.1,18.2,23.6,20.1,3.3,1.13,12.5,567
25.8,68.6,18.1,26,25.7,5.7,0.81,10.2,351
24.4,56.1,3.7,13.4,27.5,7.4,1.85,8.1,382
36.1,69.1,6.8,16.2,18.7,5.9,1.15,5,630
26.2,54.4,21,22,26.8,6.1,0.88,10.4,377
29.5,85.9,13.6,33.2,18.7,14.4,1.78,6.6,397
33.2,62.2,6.3,15.7,19,1.1,1.14,11.3,546
22.2,78.5,5.7,7.5,19.7,5,1.15,13.1,514
34.9,57,10.2,23.2,21,5.3,1.59,8.1,612
16.5,66.4,11.7,15.8,11.7,3.6,0.97,13.5,548
24.1,70.9,5,9.7,17.4,2.2,0.97,13.7,366
26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,581
28.1,85.3,1.6,18.3,32,7.5,1.37,7.9,521
37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511
26.8,91.1,16.6,21.3,25.8,6.4,1.72,7.7,571
37.9,89.7,3.1,18.3,36.7,4.7,2.72,2.6,592
19.1,50.6,4.8,18.4,33.6,5.9,1.98,6.6,648
22.1,56.3,6.8,13.1,25.6,1.5,1.01,11.6,535
17.5,57.2,8.7,13.6,25.6,3.1,1.03,11.6,505
27.1,87.7,23.2,36.1,24.4,10.5,1.55,6,376
30.5,87.9,28.4,38.1,29.2,15.2,1.76,5,496
24.9,82.9,3.7,17.6,36.7,29.1,1.72,6.9,536
24.4,39,3.1,8.9,26.7,5.9,0.86,10.2,317
24,51.2,14.1,16.5,26,7.4,0.97,10.2,264
26.7,67.6,3.9,7.9,23.5,6.2,0.99,10.4,366
37.1,88.5,16.7,22.4,26.6,10.7,1.43,5.9,609
22.6,59.2,30.8,37,14.6,2,1.01,11.7,284
30.9,78.3,10.5,24,35.2,15.4,1.35,11.6,326
30.6,92.3,14.2,30.6,22.4,14.4,1.6,5.6,574
47.3,88.4,104.9,127.4,44.6,21.7,2.71,8.2,648
27.2,74.2,18.5,24.7,38.4,33.9,2.48,3.9,424
40,66.1,21.7,41.3,28.1,2.7,1.66,5.9,745
32.4,56,3.3,15.6,28.8,6.5,1.49,7.6,506
21.9,42.8,3.3,5.8,19.3,3.9,1.12,13,546
23,53.6,0.3,4.9,24.6,4.8,1.02,10.3,581
26.1,54.2,15.8,21.1,15.3,5.2,0.98,10,427
26.2,44.5,12.4,17.9,13.3,0.5,0.76,14.8,296
29.8,92.2,15.1,29.7,25.5,5.8,1.75,5.8,657
27.4,67.3,41.8,52.9,22.4,12.4,1.65,9.6,446
28.7,64.6,12.1,17.6,14.2,6.2,1.04,11.1,600
29,64,8.6,21.6,26.6,8.1,1.53,5,647
36,43.9,64.7,76.1,31.1,7.7,1.34,5.1,488
36.4,72.1,37.2,45.7,29.1,9.6,1.45,9.8,312
26.2,67.3,10.2,19.3,20.8,9.9,1.66,6.4,419
26.5,52.8,1.2,10,26.5,3.4,0.91,12.1,377
35.1,100.9,48.5,69.4,44.6,3,2.82,3.1,830
28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604
25.7,69.3,15.7,25,27.7,10.6,1.44,9.5,482
31.2,75.2,56.6,62.7,23.7,15.6,1.4,5.8,480
34.2,72.1,5.8,15.9,25.5,16,2.72,5.3,560
23.7,73.3,4.7,19,23,8.4,1.4,5.5,668
