"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
40.3,120.5,9.7,27.6,47.8,10.1,2.58,2.5,799
34.4,77.4,43.8,68.2,45.2,9.8,3.31,2.8,737
34.5,76.9,59.3,71.9,28.4,13,1.77,7.7,586
28,70.3,2.9,8.3,24.7,8,0.82,10.5,308
35.8,80,37.1,44.5,38,14.8,2.03,3.5,538
28.4,38.8,1.8,8.4,10.5,5.6,0.99,12.5,560
28.8,74.3,29.9,40.6,26.6,6.9,1.43,5.4,649
22.4,73,12.2,15,26.6,3.6,0.97,12.9,266
32.5,67.4,1.1,9.2,31,16.5,1.56,3.4,512
23.6,51.6,29.8,38.9,18.5,6.1,1.01,13.8,391
23.5,67.6,0.2,4.3,24.5,6.4,1.19,14.6,412
31.4,94.3,68.9,72.8,24,14.3,1.99,6.7,347
29.7,72.5,1.6,14,33.4,9.4,1.72,6.6,315
30.8,66.2,25.8,28.9,18.1,6.8,1,5.2,603
25.9,44.8,1.7,7.4,24.4,6.4,0.97,10.4,574
25.3,83.3,33.9,44,35.9,9.1,1.41,6.2,488
25.4,74.3,6,7.1,19.9,4.2,1.09,10.8,483
28.9,56.2,30.9,40.8,23.7,9.1,1.63,6.4,572
21,48,10.5,14.3,22.3,6.9,1.08,13.5,555
25.5,63.8,2.2,4.3,24.9,4.7,1.1,13.4,459
21.7,51.6,7.1,9.7,21.9,2.7,0.96,10.2,247
38.5,83.8,19.5,31,28,14.3,2.22,7.3,443
26.8,63.4,13.8,21.4,18.8,2.8,1,10.3,303
46.3,76.9,117.4,124.5,42.4,40.5,2.4,3.5,789
21.9,68.5,20,22.2,11.8,5.3,1.02,11.7,582
22,76.8,10.4,16.3,25.7,6.6,1.03,11.7,449
22.2,53.1,13.8,15,21.5,4.1,1.06,14.5,276
34.1,97.9,54,76.8,31.6,16.4,2.15,6.6,513
28.3,70.2,47.1,53.9,28.6,11.5,1.59,7.7,604
34.2,99.4,8.9,32,32.3,7.9,1.71,3.3,601
32.3,77.3,28.8,54.3,21.8,11.2,2.21,5,478
27.4,36,8.8,16.7,22.2,2.5,1.04,11.1,407
28.7,58.3,32.9,45.6,26.7,13.6,1.6,7.3,352
51.4,108.7,2.1,20.6,27.1,11.8,2.03,2.6,744
46.7,84.2,1.6,26.6,36.5,13.4,3.04,8,506
19.7,75.3,7.8,13.9,21.2,6.4,1.25,10.9,402
44.1,109.2,31.8,44.9,51.1,12.3,2.27,5.7,640
27.2,51,4.2,8.7,11.4,6.1,1.01,10.2,469
18.5,71,13.2,20.4,19.4,5.2,0.89,12,550
21.8,73.5,11.6,14.8,24.2,5.9,0.96,10.8,463
30.9,76.7,12.4,16.2,13.7,6.9,0.73,11.2,579
29.1,79.2,3.8,12.6,29.2,-0.5,1.7,6,436
16.8,57.1,22,25.6,13,6.4,1.05,10.4,231
20.5,80.3,12.6,25.9,33,11.4,1.44,6.1,433
18.5,57.3,7.7,11.1,22.8,4.7,1.1,10.2,600
25.7,67.7,43,52.4,22.5,7.2,1.35,6,415
31.9,78.1,16.7,30.3,29.4,9,1.76,5.3,671
24.4,39,3.1,8.9,26.7,5.9,0.86,10.2,317
44.6,78.5,37.5,42.2,39.1,30.8,2.95,5,743
28.6,45.2,6.2,11.4,24,3.6,0.93,12.5,212
34.5,60.1,18.8,26.3,27.4,15.4,1.65,5.1,616
25.5,56.8,5.6,11.7,24.9,2.5,1.09,11.2,507
38.8,97.9,0.1,12.2,43.2,7.9,1.27,4,567
26.2,47.6,16.4,20.2,24,9.9,0.85,11.5,506
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236
52.3,84.7,21.2,36.4,26.8,15.6,2.27,2.7,647
36.2,62.4,34.7,53.1,22.8,7.8,1.27,6.7,407
31.8,49.9,7.5,17.9,36.1,7,1.48,9.5,687
25.7,68.7,12.4,16.9,10,6,1.24,10.3,470
24.5,65.3,29.4,38.1,33.4,2,1.23,6,616
37.6,99.5,142.3,157.1,36.3,20.8,1.82,2.8,528
30.6,107.4,35.4,53.4,31.2,23.4,1.73,5.6,631
23.1,63.6,9.9,15.5,18.1,3.9,0.98,15,205
49.6,79.9,13.4,26.4,37.8,28.8,2.71,3.3,639
27.8,61.2,16.3,24.1,10.6,6.8,1.19,11.1,365
23.5,55.1,6,11.8,16.6,6.6,1.04,10.8,421
27.1,111.8,2.6,30.7,32.7,23.2,1.93,6.3,691
32.6,59.4,7.2,21.8,31.3,8.6,1.44,16.2,363
29.4,85.8,90.1,94.2,30.5,10.7,1.35,5.6,366
32.6,67.2,45.4,61.4,27.4,5.2,1.43,7.2,470
24.5,73.3,7.8,12.5,21.6,4.5,0.94,10.2,322
37.2,98.9,37.7,57.5,54.3,30.6,2.45,5.1,572
31.5,80.1,26.2,28,14.9,7.3,1.21,7.6,317
25.5,43.5,5.2,9.6,24.4,8.8,0.98,11.4,284
25.5,81,1.1,9.9,31.2,12.3,1.77,5.9,572
25.8,47.3,9.4,16.9,34.1,6.4,1.92,5.3,367
38.9,66.5,81.9,105.1,36.1,5.9,3.54,3.2,794
31.1,58.6,9.7,22.5,30.6,7.2,1.49,10.4,603
24.2,62.7,4.5,8.5,22.3,0.3,0.99,10.3,555
29,84.3,8.7,14.7,31.6,11.9,1.53,10.4,475
21,44,2.6,8.8,25.2,5.7,0.95,17.2,488
25,63.9,9.3,10.8,15.8,4.6,0.92,10.1,490
31.7,52.1,24.3,30.1,15.3,6,0.91,13.8,418
20.8,61.9,3,9.6,14.8,8.5,1.06,11.3,491
30.8,85.5,18.6,44.4,31,8.1,2.25,4,770
46.9,76.6,20.5,34.6,39.5,20.6,2.75,4,667
47.4,93.1,72.7,96.6,34.3,14.9,2.54,5.7,797
28.7,63.9,13.5,25.3,16.2,10.9,1.17,6.3,478
26.8,76.2,48.1,54.3,24.5,4.6,1.58,7.5,451
21.6,50.7,1.5,4,11.7,2.3,0.94,12,452
24.9,79.2,5.5,12.2,21.3,4.6,1,11.9,225
29,57.3,6.1,9.2,17.7,4.7,0.89,10.2,600
28.8,71.7,20,25.6,16.7,6.1,0.97,11.9,539
21.7,50,21.5,25.1,12.2,7,1.13,11.1,311
22.9,41.7,26.8,33.4,11.9,1.1,0.89,11,359
32.6,64.2,48.1,51.6,30.2,15.1,1.54,5.7,355
25.7,69.3,64.5,78.8,26.5,10.3,1.87,12.2,579
30.2,77.2,34.4,44,33.6,12.7,1.34,6.4,372
24.9,45.7,3.1,9.4,18.8,7,1.08,10.3,275
41.1,70.1,45.2,60,28.5,15.7,2.43,6,759
50.4,93.5,17.1,33.7,42.7,17.6,2.56,3.1,610
23.6,47.9,4.4,9.8,18.4,4.3,0.95,11,319
49.9,91.6,26.6,51.1,31.8,29,2.48,5.4,849
22.9,50,19.2,23.4,18.8,6,0.95,12.2,225
28.7,84,79.8,86.5,24,6.7,1.2,9.6,423
25.4,72.7,11.9,15.3,20.6,8.3,1.46,6.8,503
33.7,83.3,10.2,32.2,33.6,27.7,2.53,11.9,541
21.8,72.4,4,7.5,19.4,-0.3,1.15,12.2,490
25,72.6,1.5,6.9,19,5.7,0.94,14.8,407
39.7,95.9,70.7,74.9,30.8,18.3,2.3,3.7,422
30.9,46.6,4.1,13.6,14.3,1.8,0.98,10.4,218
43.2,64.6,31.2,48.6,36.7,14.7,2.3,3.4,540
