"Temperature","Humidity","PM2.5","PM10","NO2","SO2","CO","Industrial_Vicinity","Population_Density"
31.5,49.1,36.6,40.4,26.6,7.9,1.58,6.6,318
27.9,47.4,9,14.2,19.9,9,1.06,10.5,428
47.3,64.8,2.5,21.8,41,17.3,1.95,2.6,779
35.3,53.7,34.2,44.6,20.3,3.8,1.21,5.8,328
22,52.2,12.3,19.1,27.3,4.9,0.86,12,316
23.8,44.4,7.5,11.9,23.1,3.1,0.9,11.5,602
19.2,73.8,4.1,7.2,14.3,4,1.1,10.7,448
36.6,83.6,7.4,19.4,18.4,14.7,1.48,9.1,707
31.9,74.5,31.9,40.6,36.4,9.7,1.45,6.7,494
24.9,79.2,5.5,12.2,21.3,4.6,1,11.9,225
21.7,42,1.2,5.8,27.7,3.2,0.87,12.4,248
28.1,67.8,2,6.9,21.5,1.1,0.85,11,344
20.3,63,21.7,24.1,16.5,4.3,0.89,17.1,191
37.8,64.8,0.2,23.6,17.8,6.6,1.71,5.2,643
30.9,81.4,14.5,24.8,27.9,15.9,1.59,7.1,392
25.6,87.4,23.6,32.3,29.2,3.1,1.59,6.2,582
27.6,69.4,2.9,9.9,12.4,2,0.97,13.2,375
30.3,68.2,5.4,16,29.5,4,1.49,5.3,645
39.1,88.5,27.6,38,28.2,7.1,1.85,5.6,659
25.7,65.8,8.5,15.1,18.6,5,0.93,10.1,393
30.1,77.9,2.7,4.7,11.4,3.4,0.96,11.5,235
45.3,73.7,53.2,84.6,47.8,28,2.45,2.8,480
44.3,61.7,55,66.4,32.7,13.1,1.82,4.1,614
44.9,84.2,2.9,16.2,33.4,17,1.93,4.4,701
26.5,51.7,0.7,5.3,10.7,7.1,1.05,10.2,555
45.8,96.4,0.4,10,34.1,11.9,1.9,11.6,374
27.5,85,57.1,72.3,33.7,9.6,1.86,5.4,537
30.4,101.1,28.6,42.6,39.9,4,2.2,6.8,639
35.1,72.5,0.8,17.8,28.7,5.1,0.92,14.7,573
31.1,116.9,16.1,35.6,31.7,20.7,2.73,4.5,544
25.9,76.7,13.8,17.9,17.4,5,1.2,10.3,251
21.9,59.7,9.7,12,17.5,4,1.07,13.8,524
29.4,51.6,29.3,40.2,27.9,11.2,1.72,5.8,591
46.6,81.9,6.6,31.9,54.9,11.8,2.19,2.8,734
34.9,86.4,9.2,28,36.9,9,2.08,7.1,728
48.4,89.1,14.7,32.7,52,0,2.59,2.6,664
31.3,75,37.8,47.1,32.6,11,1.87,5.6,451
23.3,66.1,0.8,5.2,18.4,5.7,0.89,10.3,492
25.1,43.3,23,28.6,24.2,3.9,1.01,16,392
29.2,112.4,21.9,39.6,37.6,17.5,2.99,4.3,689
22.6,70.7,0.8,7.4,26.3,1.8,1.07,10.8,481
41.9,68.4,15.5,26.3,29.2,18.5,1.4,4.5,387
41.4,74.4,27.5,38.8,28.9,21.3,2.18,4.2,778
23.5,67,1.8,6.8,19.6,4,1.07,10.8,320
32.3,83,10.2,15.1,27,12.7,1.45,5,454
27.4,73.5,17.1,22.1,15.7,8.3,0.92,12,572
30.8,72.7,27.2,36.7,32.2,15,1.56,9.7,376
35.5,97.4,12.8,37.3,24.7,13,1.75,12.4,513
21,51,4.5,9.4,18.6,7.8,1.01,10.5,254
23.4,53.5,4.9,10.5,17.5,6.3,0.91,15.5,501
44.9,103,8.1,28.8,50.1,35,2.54,3.9,821
29.9,86.8,33.4,41.3,20.6,8.3,1.46,10.6,295
31.5,73.6,55,68.7,22.3,12.5,1.35,6.2,417
25.8,64.7,3.3,8.4,26.6,4.3,0.98,10.2,226
27.6,75.9,20.3,25.9,26.6,4.9,1.11,10.8,334
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562
35.8,84.5,0.2,11.8,32.1,6.8,1.38,5.9,352
21.5,57.5,0.2,4.3,15,6.7,1.02,18.8,373
24.6,66.9,14.4,19.2,25.2,5.9,1.01,10.3,279
23.3,61.7,3.3,10.1,12.9,5.3,0.94,10.1,245
31.4,78.7,7.7,14.3,38.1,17.5,1.75,5.4,549
26.8,55.4,4.9,7.3,22.8,5.3,1.1,16.7,313
23.6,51.6,29.8,38.9,18.5,6.1,1.01,13.8,391
27.3,61,32.3,34.8,21,6.9,0.98,10.4,453
24.9,64.4,10.9,15.2,14,4.4,1.12,10.5,354
25.6,74.7,3.7,8.6,20.2,1,0.84,14.9,287
31,69.1,15.4,29.6,24.8,5.7,1.62,6.2,704
37.5,93.5,38.5,45.1,32.7,14.6,1.74,4,454
27.8,43.3,19.8,24.5,12,4.3,0.96,12.7,404
29.1,120.7,34.7,56,38.8,21.7,2.67,3.2,569
24.7,78,9.3,13.9,19.3,2.4,0.92,10.7,599
47.2,78.4,17.9,46,42.9,21.1,2.36,2.8,517
20.7,66.4,26.3,29.6,23.2,0.8,0.98,14.4,520
32.3,80.6,11,17.6,25.8,3.1,1.26,6.7,670
50.7,68,39.7,60.8,35.2,29.7,2.77,4.7,862
25,63.5,24.7,27,16.1,2,0.91,15.9,407
37.3,94.3,67.5,84,42.4,27.5,1.94,5.6,863
35.2,80.7,67.4,103.4,49.6,9.6,2.47,3.5,681
30.4,66.4,1.1,0,24,4.3,0.96,11.1,214
25.7,41.1,2.4,9.2,13.4,4.9,1.01,15.8,544
44.4,73.7,48.6,59.1,43.7,23.9,3.15,6.3,841
34.7,80.3,2.8,10.9,17.2,8.8,1.56,5.2,324
22.9,86.5,1.4,6.6,25.5,10.1,1.45,5.1,458
28.2,73.2,27.8,39.6,23.7,1.3,1.46,5.7,563
31,46.3,12.4,31.1,30.1,19.2,1.31,8,484
28.7,73.6,16.2,20.1,27.1,3.4,0.88,10.2,581
36.2,97,72.7,95.2,33.5,10.9,2.25,4.9,432
35.3,106.9,35.7,60.3,41.7,16.1,2.54,5.6,857
25.8,42.2,2.2,3.9,15.2,9,0.99,13.8,543
25.7,88.9,16.7,27,28.6,5.1,1.79,11.8,439
25.6,77.7,34.1,39.8,18.2,2.6,1.24,10.4,380
28.3,71.1,16.1,19.8,19,3.2,0.97,10.1,256
23.7,73,16.4,21.4,21.7,9.5,1.66,6,386
41.9,84.4,75.7,99.5,30,17.5,2.32,3,680
28.3,87.1,37,48.5,22.9,10,1.48,5.4,550
24.3,62.5,1.1,9.6,20.8,7,1.08,10.9,567
29.2,72.2,6.9,13.4,20.9,7.7,0.97,13.4,362
27.1,88.3,20.9,25.4,35.1,4.5,1.75,6.1,506
25,81.8,20.2,28.7,17.5,2.3,1.06,10.6,386
